Data,Zatrzymani na gorącym uczynku,Zatrzymani poszukiwani,Zatrzymani nietrzeźwi kierujący,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Sun,Moon,Mercury,Mercury speed,Mars,Mars speed,Uran,Uran speed,MoonSun distance,MercuryMars distance,SunMars distance,SunUran distance
30.03.2016,581,258,171,70,4,87,10.13,265.98,16.98,2.04,247.05,0.2,19.85,0.06,-104.15,129.93,123.08,-9.72
29.03.2016,660,266,267,73,15,100,9.14,253.7,14.94,2.05,246.85,0.21,19.8,0.06,-115.44,128.09,122.3,-10.65
28.03.2016,717,133,321,60,6,89,8.15,241.62,12.89,2.04,246.64,0.21,19.74,0.06,-126.54,126.25,121.52,-11.59
27.03.2016,482,122,230,38,4,47,7.17,229.67,10.85,2.04,246.42,0.22,19.68,0.06,-137.49,124.43,120.75,-12.52
26.03.2016,647,180,267,79,16,107,6.22,218.3,8.9,2.03,246.2,0.23,19.63,0.06,-147.91,122.7,120.01,-13.41
25.03.2016,717,302,243,63,2,72,5.23,206.48,6.87,2.02,245.97,0.24,19.58,0.06,-158.75,120.91,119.26,-14.35
24.03.2016,636,266,202,67,3,84,4.24,194.65,4.86,2.01,245.72,0.25,19.52,0.06,-169.58,119.14,118.51,-15.28
23.03.2016,599,247,161,73,6,84,3.25,182.78,2.86,1.99,245.47,0.26,19.46,0.06,179.54,117.39,117.77,-16.22
22.03.2016,646,220,183,95,7,132,2.25,170.84,0.88,1.98,245.21,0.26,19.41,0.06,168.59,115.66,117.04,-17.15
21.03.2016,665,221,197,57,3,74,1.26,158.8,358.91,1.96,244.95,0.27,19.35,0.05,157.53,113.96,116.31,-18.09
20.03.2016,731,141,267,42,4,57,0.27,146.6,356.96,1.94,244.67,0.28,19.3,0.05,146.34,112.29,115.6,-19.03
19.03.2016,697,168,257,56,5,77,359.28,134.23,355.03,1.92,244.39,0.29,19.24,0.05,134.96,110.64,114.88,-19.97
18.03.2016,729,281,220,73,6,86,358.28,121.64,353.12,1.9,244.1,0.29,19.19,0.05,123.36,109.02,114.18,-20.91
17.03.2016,764,308,242,75,8,80,357.29,108.78,351.23,1.88,243.81,0.3,19.14,0.05,111.5,107.42,113.48,-21.85
16.03.2016,696,279,193,63,2,90,356.29,95.62,349.36,1.86,243.51,0.31,19.08,0.05,99.33,105.85,112.79,-22.79
15.03.2016,643,279,176,61,2,81,355.3,82.11,347.5,1.84,243.2,0.31,19.03,0.05,86.81,104.31,112.1,-23.73
14.03.2016,665,247,238,76,3,102,354.3,68.23,345.67,1.82,242.88,0.32,18.97,0.05,73.93,102.79,111.42,-24.68
13.03.2016,727,130,264,48,3,60,353.3,53.99,343.86,1.8,242.56,0.33,18.92,0.05,60.69,101.3,110.74,-25.62
12.03.2016,754,127,255,83,14,83,352.3,39.42,342.06,1.78,242.23,0.33,18.87,0.05,47.11,99.83,110.07,-26.56
11.03.2016,692,248,209,87,11,91,351.31,24.58,340.29,1.76,241.89,0.34,18.82,0.05,33.28,98.39,109.41,-27.51
10.03.2016,702,256,218,61,6,69,350.31,9.6,338.53,1.75,241.55,0.34,18.76,0.05,19.29,96.98,108.75,-28.46
10.03.2016,702,256,218,61,6,69,350.31,9.6,338.53,1.75,241.55,0.34,18.76,0.05,19.29,96.98,108.75,-28.46
09.03.2016,1029,281,242,64,8,78,349.31,354.59,336.8,1.73,241.21,0.35,18.71,0.05,5.28,95.59,108.1,-29.41
08.03.2016,717,249,194,66,3,85,348.31,339.7,335.08,1.71,240.85,0.36,18.66,0.05,-8.6,94.23,107.45,-30.35
07.03.2016,637,260,181,56,2,73,347.31,325.07,333.38,1.69,240.5,0.36,18.61,0.05,-22.23,92.89,106.81,-31.3
06.03.2016,688,121,274,39,6,46,346.31,310.8,331.7,1.67,240.13,0.37,18.56,0.05,-35.51,91.57,106.17,-32.25
05.03.2016,849,157,368,42,2,61,345.3,296.94,330.04,1.65,239.76,0.37,18.51,0.05,-48.37,90.28,105.54,-33.21
04.03.2016,708,274,201,62,8,71,344.3,283.52,328.4,1.63,239.39,0.38,18.46,0.05,-60.78,89.01,104.92,-34.16
03.03.2016,698,287,177,55,5,63,343.3,270.52,326.77,1.62,239.01,0.38,18.41,0.05,-72.78,87.77,104.29,-35.11
02.03.2016,630,276,189,60,3,72,342.3,257.9,325.16,1.6,238.62,0.39,18.36,0.05,-84.4,86.54,103.68,-36.07
01.03.2016,542,255,121,87,10,114,341.29,245.59,323.57,1.58,238.23,0.39,18.31,0.05,-95.7,85.34,103.06,-37.02
29.02.2016,572,258,174,85,5,107,340.29,233.52,322.0,1.56,237.83,0.4,18.27,0.05,-106.77,84.17,102.46,-37.98
28.02.2016,715,149,260,47,3,61,339.29,221.61,320.45,1.55,237.43,0.4,18.22,0.05,-117.67,83.01,101.85,-38.93
27.02.2016,669,189,240,85,7,117,338.28,209.79,318.91,1.53,237.03,0.41,18.17,0.05,-128.49,81.88,101.25,-39.89
26.02.2016,665,331,201,63,3,80,337.28,197.98,317.39,1.51,236.62,0.41,18.12,0.05,-139.3,80.77,100.65,-40.85
25.02.2016,597,273,151,83,7,88,336.27,186.12,315.89,1.49,236.21,0.42,18.08,0.05,-150.15,79.68,100.06,-41.81
24.02.2016,619,297,137,67,2,76,335.26,174.16,314.4,1.48,235.79,0.42,18.03,0.05,-161.1,78.61,99.47,-42.77
23.02.2016,621,294,165,69,4,76,334.26,162.06,312.94,1.46,235.37,0.42,17.99,0.04,-172.2,77.57,98.89,-43.73
22.02.2016,660,283,197,68,9,79,333.25,149.79,311.49,1.44,234.94,0.43,17.94,0.04,176.54,76.55,98.31,-44.69
21.02.2016,625,145,209,39,4,50,332.24,137.33,310.06,1.42,234.51,0.43,17.9,0.04,165.08,75.55,97.73,-45.66
20.02.2016,675,165,262,52,4,70,331.24,124.65,308.65,1.4,234.08,0.44,17.86,0.04,153.42,74.57,97.16,-46.62
19.02.2016,597,247,174,99,7,11,330.23,111.76,307.26,1.38,233.64,0.44,17.81,0.04,141.53,73.62,96.59,-47.58
18.02.2016,647,300,161,56,7,62,329.22,98.65,305.89,1.36,233.2,0.44,17.77,0.04,129.43,72.69,96.02,-48.55
17.02.2016,624,248,151,58,2,69,328.21,85.31,304.55,1.34,232.75,0.45,17.73,0.04,117.1,71.79,95.46,-49.52
16.02.2016,619,267,154,54,1,69,327.2,71.73,303.22,1.31,232.31,0.45,17.69,0.04,104.53,70.91,94.89,-50.49
15.02.2016,636,259,207,65,5,77,326.19,57.93,301.92,1.29,231.85,0.45,17.65,0.04,91.74,70.07,94.34,-51.46
14.02.2016,735,129,252,40,6,52,325.18,43.89,300.64,1.26,231.4,0.46,17.61,0.04,78.71,69.24,93.78,-52.43
13.02.2016,700,168,222,54,6,56,324.17,29.65,299.39,1.24,230.94,0.46,17.57,0.04,65.48,68.45,93.23,-53.4
12.02.2016,685,297,212,64,3,87,323.16,15.22,298.17,1.21,230.48,0.46,17.53,0.04,52.06,67.69,92.68,-54.37
11.02.2016,655,286,161,74,0,92,322.15,0.66,296.98,1.18,230.01,0.47,17.49,0.04,38.52,66.97,92.13,-55.35
10.02.2016,598,290,150,99,9,122,321.13,346.06,295.82,1.14,229.54,0.47,17.45,0.04,24.92,66.27,91.59,-56.32
09.02.2016,684,332,177,58,7,61,320.12,331.5,294.69,1.11,229.07,0.47,17.42,0.04,11.38,65.62,91.05,-57.3
08.02.2016,682,283,206,72,6,94,319.11,317.08,293.6,1.07,228.6,0.48,17.38,0.04,-2.02,65.01,90.51,-58.27
07.02.2016,753,134,326,65,6,82,318.09,302.92,292.55,1.03,228.12,0.48,17.35,0.04,-15.17,64.44,89.97,-59.25
06.02.2016,708,177,284,55,9,60,317.08,289.09,291.55,0.98,227.64,0.48,17.31,0.03,-27.99,63.91,89.44,-60.23
05.02.2016,860,285,357,68,6,81,316.07,275.64,290.59,0.93,227.15,0.49,17.28,0.03,-40.43,63.44,88.91,-61.21
04.02.2016,539,259,140,76,6,105,315.05,262.58,289.69,0.88,226.67,0.49,17.24,0.03,-52.48,63.02,88.38,-62.19
03.02.2016,667,358,157,55,4,58,314.04,249.89,288.84,0.82,226.18,0.49,17.21,0.03,-64.15,62.66,87.86,-63.17
02.02.2016,668,295,158,56,4,63,313.02,237.54,288.06,0.75,225.69,0.49,17.18,0.03,-75.48,62.37,87.34,-64.16
01.02.2016,571,278,166,71,5,81,312.01,225.44,287.34,0.68,225.19,0.5,17.15,0.03,-86.56,62.15,86.82,-65.14
31.01.2016,609,144,225,46,6,59,310.99,213.53,286.7,0.6,224.69,0.5,17.12,0.03,-97.46,62.01,86.3,-66.13
30.01.2016,637,168,226,70,6,72,309.98,201.71,286.15,0.51,224.19,0.5,17.09,0.03,-108.26,61.95,85.78,-67.11
29.01.2016,554,299,138,100,5,109,308.96,189.9,285.68,0.42,223.69,0.5,17.06,0.03,-119.06,61.99,85.27,-68.1
28.01.2016,704,345,164,58,3,72,307.95,178.02,285.32,0.31,223.19,0.51,17.03,0.03,-129.93,62.13,84.76,-69.09
27.01.2016,584,273,123,66,7,74,306.93,165.98,285.07,0.2,222.68,0.51,17.0,0.03,-140.95,62.39,84.25,-70.07
26.01.2016,574,281,143,70,9,76,305.91,153.74,284.93,0.07,222.17,0.51,16.98,0.03,-152.17,62.76,83.74,-71.06
