Data,Zatrzymani na gorącym uczynku,Zatrzymani poszukiwani,Zatrzymani nietrzeźwi kierujący,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach
30.03.2016,581,258,171,70,4,87
29.03.2016,660,266,267,73,15,100
28.03.2016,717,133,321,60,6,89
27.03.2016,482,122,230,38,4,47
26.03.2016,647,180,267,79,16,107
25.03.2016,717,302,243,63,2,72
24.03.2016,636,266,202,67,3,84
23.03.2016,599,247,161,73,6,84
22.03.2016,646,220,183,95,7,132
21.03.2016,665,221,197,57,3,74
20.03.2016,731,141,267,42,4,57
19.03.2016,697,168,257,56,5,77
18.03.2016,729,281,220,73,6,86
17.03.2016,764,308,242,75,8,80
16.03.2016,696,279,193,63,2,90
15.03.2016,643,279,176,61,2,81
14.03.2016,665,247,238,76,3,102
13.03.2016,727,130,264,48,3,60
12.03.2016,754,127,255,83,14,83
11.03.2016,692,248,209,87,11,91
10.03.2016,702,256,218,61,6,69
10.03.2016,702,256,218,61,6,69
09.03.2016,1029,281,242,64,8,78
08.03.2016,717,249,194,66,3,85
07.03.2016,637,260,181,56,2,73
06.03.2016,688,121,274,39,6,46
05.03.2016,849,157,368,42,2,61
04.03.2016,708,274,201,62,8,71
03.03.2016,698,287,177,55,5,63
02.03.2016,630,276,189,60,3,72
01.03.2016,542,255,121,87,10,114
29.02.2016,572,258,174,85,5,107
28.02.2016,715,149,260,47,3,61
27.02.2016,669,189,240,85,7,117
26.02.2016,665,331,201,63,3,80
25.02.2016,597,273,151,83,7,88
24.02.2016,619,297,137,67,2,76
23.02.2016,621,294,165,69,4,76
22.02.2016,660,283,197,68,9,79
21.02.2016,625,145,209,39,4,50
20.02.2016,675,165,262,52,4,70
19.02.2016,597,247,174,99,7,11
18.02.2016,647,300,161,56,7,62
17.02.2016,624,248,151,58,2,69
16.02.2016,619,267,154,54,1,69
15.02.2016,636,259,207,65,5,77
14.02.2016,735,129,252,40,6,52
13.02.2016,700,168,222,54,6,56
12.02.2016,685,297,212,64,3,87
11.02.2016,655,286,161,74,0,92
10.02.2016,598,290,150,99,9,122
09.02.2016,684,332,177,58,7,61
08.02.2016,682,283,206,72,6,94
07.02.2016,753,134,326,65,6,82
06.02.2016,708,177,284,55,9,60
05.02.2016,860,285,357,68,6,81
04.02.2016,539,259,140,76,6,105
03.02.2016,667,358,157,55,4,58
02.02.2016,668,295,158,56,4,63
01.02.2016,571,278,166,71,5,81
31.01.2016,609,144,225,46,6,59
30.01.2016,637,168,226,70,6,72
29.01.2016,554,299,138,100,5,109
28.01.2016,704,345,164,58,3,72
27.01.2016,584,273,123,66,7,74
26.01.2016,574,281,143,70,9,76
25.01.2016,540,231,158,71,4,97
24.01.2016,577,133,186,34,3,41
23.01.2016,487,148,157,58,5,71
22.01.2016,573,266,129,60,3,81
21.01.2016,553,298,113,69,4,71
20.01.2016,499,289,99,60,1,81
19.01.2016,503,318,97,32,2,38
18.01.2016,547,241,127,56,5,59
17.01.2016,499,148,195,27,2,34
16.01.2016,566,139,171,48,3,59
15.01.2016,530,263,148,88,4,110
14.01.2016,590,311,150,69,5,76
13.01.2016,549,281,118,84,4,92
12.01.2016,543,253,129,116,5,131
11.01.2016,468,233,121,84,6,108
10.01.2016,572,178,180,51,4,69
09.01.2016,580,165,191,84,8,108
08.01.2016,554,234,145,107,11,121
07.01.2016,493,266,129,47,5,54
06.01.2016,351,165,110,32,3,43
05.01.2016,395,274,96,59,7,71
04.01.2016,317,235,78,31,3,44
03.01.2016,352,117,106,22,2,24
02.01.2016,345,123,129,30,3,37
01.01.2016,764,118,285,40,11,38
31.12.2015,374,178,117,46,6,53
30.12.2015,491,265,139,56,3,60
29.12.2015,507,307,149,67,8,82
28.12.2015,569,263,222,72,7,81
27.12.2015,573,131,207,66,10,75
26.12.2015,466,80,203,52,9,66
25.12.2015,380,80,153,39,1,74
24.12.2015,516,170,210,72,4,95
23.12.2015,653,256,207,109,12,123
22.12.2015,583,266,183,133,12,146
21.12.2015,598,223,234,129,17,137
20.12.2015,702,129,258,72,5,101
19.12.2015,706,167,272,96,9,112
18.12.2015,604,249,177,169,13,179
17.12.2015,548,246,166,128,14,136
16.12.2015,574,247,156,97,7,104
15.12.2015,558,259,164,98,10,99
14.12.2015,552,243,190,97,8,105
13.12.2015,606,120,233,73,10,86
12.12.2015,663,139,232,92,16,107
11.12.2015,569,276,172,124,11,147
10.12.2015,620,272,175,120,10,123
09.12.2015,573,249,166,96,10,101
08.12.2015,666,278,200,83,10,84
03.12.2015,632,300,182,89,4,98
02.12.2015,642,292,190,128,10,144
01.12.2015,580,285,168,95,7,107
30.11.2015,550,234,233,106,17,108
29.11.2015,775,144,351,65,6,68
28.11.2015,930,141,472,84,11,96
27.11.2015,496,213,157,86,9,93
26.11.2015,565,263,144,68,5,80
25.11.2015,517,243,130,73,4,83
24.11.2015,540,249,124,75,1,91
23.11.2015,566,242,188,83,7,106
22.11.2015,664,138,268,55,5,73
21.11.2015,710,169,271,95,14,101
20.11.2015,589,258,175,125,9,139
19.11.2015,622,249,157,110,5,118
18.11.2015,572,251,137,101,6,106
17.11.2015,518,250,142,109,7,128
16.11.2015,580,244,213,124,11,142
15.11.2015,642,133,266,81,5,98
14.11.2015,682,142,257,67,10,67
13.11.2015,635,275,242,88,7,109
12.11.2015,738,271,246,73,4,95
11.11.2015,771,161,300,76,5,88
10.11.2015,638,247,177,123,10,147
