Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe,Sun,Moon,Mercury,Mercury speed,Mars,Mars speed,Uran,Uran speed,MoonSun distance,MercuryMars distance,SunMars distance,SunUran distance
28.03.2016,1,6,21,8,3,0,4,16,53,8.15,241.62,12.89,2.04,246.64,0.21,19.74,0.06,-126.54,126.25,121.52,-11.59
27.03.2016,2,1,11,9,2,0,4,17,42,7.17,229.67,10.85,2.04,246.42,0.22,19.68,0.06,-137.49,124.43,120.75,-12.52
26.03.2016,2,2,13,15,10,0,12,21,117,6.22,218.3,8.9,2.03,246.2,0.23,19.63,0.06,-147.91,122.7,120.01,-13.41
25.03.2016,3,3,24,30,4,1,3,19,142,5.23,206.48,6.87,2.02,245.97,0.24,19.58,0.06,-158.75,120.91,119.26,-14.35
24.03.2016,2,2,26,53,6,0,8,18,142,4.24,194.65,4.86,2.01,245.72,0.25,19.52,0.06,-169.58,119.14,118.51,-15.28
23.03.2016,0,0,18,36,5,0,10,17,162,3.25,182.78,2.86,1.99,245.47,0.26,19.46,0.06,179.54,117.39,117.77,-16.22
22.03.2016,1,0,25,46,16,3,16,17,178,2.25,170.84,0.88,1.98,245.21,0.26,19.41,0.06,168.59,115.66,117.04,-17.15
20.03.2016,5,3,18,23,1,0,2,28,77,0.27,146.6,356.96,1.94,244.67,0.28,19.3,0.05,146.34,112.29,115.6,-19.03
21.03.2016,2,2,37,47,3,0,4,23,131,1.26,158.8,358.91,1.96,244.95,0.27,19.35,0.05,157.53,113.96,116.31,-18.09
19.03.2016,5,3,28,34,5,0,7,17,117,359.28,134.23,355.03,1.92,244.39,0.29,19.24,0.05,134.96,110.64,114.88,-19.97
18.03.2016,4,1,22,50,5,0,5,23,182,358.28,121.64,353.12,1.9,244.1,0.29,19.19,0.05,123.36,109.02,114.18,-20.91
17.03.2016,1,1,33,49,6,0,6,23,164,357.29,108.78,351.23,1.88,243.81,0.3,19.14,0.05,111.5,107.42,113.48,-21.85
16.03.2016,3,1,21,58,6,0,8,14,165,356.29,95.62,349.36,1.86,243.51,0.31,19.08,0.05,99.33,105.85,112.79,-22.79
15.03.2016,3,1,18,49,8,1,9,13,186,355.3,82.11,347.5,1.84,243.2,0.31,19.03,0.05,86.81,104.31,112.1,-23.73
14.03.2016,4,1,27,55,10,0,11,16,143,354.3,68.23,345.67,1.82,242.88,0.32,18.97,0.05,73.93,102.79,111.42,-24.68
13.03.2016,6,6,20,29,8,0,10,24,66,353.3,53.99,343.86,1.8,242.56,0.33,18.92,0.05,60.69,101.3,110.74,-25.62
12.03.2016,6,6,26,34,6,1,10,23,174,352.3,39.42,342.06,1.78,242.23,0.33,18.87,0.05,47.11,99.83,110.07,-26.56
11.03.2016,5,1,29,50,7,0,7,22,175,351.31,24.58,340.29,1.76,241.89,0.34,18.82,0.05,33.28,98.39,109.41,-27.51
