Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
28.03.2016,1,6,21,8,3,0,4,16,53
27.03.2016,2,1,11,9,2,0,4,17,42
26.03.2016,2,2,13,15,10,0,12,21,117
25.03.2016,3,3,24,30,4,1,3,19,142
24.03.2016,2,2,26,53,6,0,8,18,142
23.03.2016,0,0,18,36,5,0,10,17,162
22.03.2016,1,0,25,46,16,3,16,17,178
20.03.2016,5,3,18,23,1,0,2,28,77
21.03.2016,2,2,37,47,3,0,4,23,131
19.03.2016,5,3,28,34,5,0,7,17,117
18.03.2016,4,1,22,50,5,0,5,23,182
17.03.2016,1,1,33,49,6,0,6,23,164
16.03.2016,3,1,21,58,6,0,8,14,165
15.03.2016,3,1,18,49,8,1,9,13,186
14.03.2016,4,1,27,55,10,0,11,16,143
13.03.2016,6,6,20,29,8,0,10,24,66
12.03.2016,6,6,26,34,6,1,10,23,174
11.03.2016,5,1,29,50,7,0,7,22,175
10.03.2016,0,0,16,32,6,0,8,22,159
09.03.2016,1,0,21,45,6,2,4,17,121
08.03.2016,1,0,31,48,5,0,6,26,136
07.03.2016,4,2,29,51,7,0,7,11,161
03.03.2016,3,1,28,39,6,1,5,19,148
04.03.2016,2,0,30,56,4,0,4,19,148
05.03.2016,3,6,28,43,2,0,2,24,94
06.03.2016,2,1,16,22,1,0,1,23,63
02.03.2016,3,0,18,38,5,0,5,21,179
01.03.2016,2,1,25,50,8,1,8,8,216
29.02.2016,2,2,30,68,7,2,5,21,186
28.02.2016,3,2,14,31,5,1,4,22,67
27.02.2016,4,2,18,23,8,0,12,18,123
26.02.2016,1,0,43,55,5,0,7,13,165
25.02.2016,2,3,22,49,6,0,7,11,174
24.02.2016,2,2,38,47,10,1,16,17,173
23.02.2016,4,2,28,47,7,0,10,10,160
22.02.2016,3,5,29,52,4,0,5,13,154
21.02.2016,3,2,26,24,5,0,7,16,88
20.02.2016,1,2,26,30,2,0,3,32,100
19.02.2016,0,2,36,40,10,2,8,17,183
18.02.2016,2,1,26,52,3,1,2,13,154
18.02.2016,3,1,27,40,1,0,1,12,93
17.02.2016,3,2,23,53,3,0,3,8,112
14.02.2016,2,7,16,30,5,1,4,26,77
15.02.2016,5,2,27,33,5,0,8,46,129
13.02.2016,3,2,30,35,8,1,7,16,134
12.02.2016,1,2,28,44,4,0,6,13,174
11.02.2016,3,4,32,40,4,0,6,15,151
10.02.2016,1,2,25,47,11,3,8,11,216
09.02.2016,2,4,28,59,5,0,7,21,140
08.02.2016,2,2,37,52,5,1,5,23,123
05.02.2016,2,1,35,51,7,0,12,45,186
06.02.2016,2,2,28,40,7,2,10,35,102
07.02.2016,2,5,26,26,9,0,10,35,65
04.02.2016,1,0,23,43,5,0,5,13,138
03.02.2016,6,2,33,31,5,2,3,22,156
02.02.2016,2,1,31,44,5,0,5,26,119
01.02.2016,2,2,30,63,10,1,10,19,151
29.01.2016,7,1,40,53,11,0,15,9,198
30.01.2016,5,4,32,30,7,1,7,20,127
31.01.2016,4,4,37,27,4,0,11,18,68
28.01.2016,3,2,31,62,8,0,9,14,166
27.01.2016,2,1,34,45,8,0,8,13,135
26.01.2016,0,1,25,65,5,2,3,8,133
25.01.2016,1,1,23,43,14,1,13,29,162
24.01.2016,2,7,11,22,4,0,4,17,82
22.01.2016,2,1,29,62,6,0,9,17,211
23.01.2016,2,2,18,23,5,0,5,19,98
21.01.2016,4,2,25,49,9,0,14,9,171
19.01.2016,6,2,14,49,3,1,2,9,166
20.01.2016,2,0,30,39,5,0,6,5,174
18.01.2016,5,2,37,35,6,1,5,16,162
17.01.2016,1,1,11,27,2,0,2,13,68
16.01.2016,8,2,25,38,2,0,2,15,133
15.01.2016,3,1,35,39,6,0,6,15,174
14.01.2016,2,1,20,36,6,0,6,9,140
13.01.2016,3,1,33,48,12,0,14,13,238
12.01.2016,6,1,34,52,17,0,17,11,189
11.01.2016,4,2,27,44,6,0,9,13,135
10.01.2016,0,3,10,26,2,0,2,17,83
09.01.2016,2,5,23,27,8,1,9,14,117
08.01.2016,5,1,27,42,8,0,10,11,182
